,0
507,united frankly worse customer service ever problem happen deal defines company never united
508,united still valid flight seems strange delay late flight inbound crew 7 hour plane already
509,united thanks lack help canned response 1k desk
510,united bad ua another unforeseeable operational issue return flight
511,united pay 25 35 luggage delivered arrive wait 3 additional day delivery
512,united 8 hotel 32 people feel like held hostage someone boarding pass cant leave fail
513,united one great airline
514,united outbound 2 bag 70 lb bag returning home 1 bag 50 lb logic writing machine human help required
515,lindaswc united dont like hear poor experience please share detail wour customer care team httptcohisc4ndmgz
516,united cancelled flightn left u fend flt came late flight getting runaround 3 hr employee blaming previous 1
517,united okay ase24766m find luggage
518,united agent met u gate said issue wdelays ua1116 would taken online
519,united lady one phone say tel aviv tel aviv united say newark one know nothing
520,united melaniespring well see kn running plane running thanks help
521,united yes still answer many luggage 3 day unacceptable
522,united going nothing like always
523,united plus food taxi
524,united offering u 8 room 32 people fail
525,united 32 people getting pretty tired action solving problem plus missing day vacation skiing
526,united bright side would keeping promise made hope youre good night thanks
527,united take back comment team working hard help u far solution hotel food anything fail
528,united 4124 arriving two hour late flight clt sitting tarmac move plane gate unhappy customer
529,united airline absolute worst idea neveragain unitedairlines
530,united thanks might want fix line customer care team currently responding inquiry within 710 business day
531,united flew united au austin bergstrom cancun intl best flight ever 737s big small
532,united frustrating frequent flyer loyal since continental upgrade equal paying 3 time top purchase ticket
533,united worse cant figure pack plane screw connectns claim hotl room san fran stranded pax way go
534,united 4 passenger 2 hour delayed flight left hotel end night hou airport wtf httptcozfqmpgxvs6
535,hey united flight iah po leave late flight one back iah early rather get po earlier
536,united lost bag process broken agent promised theyd call amp hold bag found theyre waking 3am w delivery fail
537,united people counter helpful see nobody flight austin 1055 still sitting
538,united darquenloveli regret hear please let u know need assistance kn finally able secure seat thx
539,united good know open closed door premier passenger safety briefing delayed flight annoyed
540,united yea get phoenix already delay day people bullshit
541,united consolation staff stellar hour delay encountered every one 4 flight
542,united flight ua3576 gate b1 tell ray somehow made 736 flight iah didnt wait 917 one
543,united thats unfortunate tumitravel xmas gift look like razor ripped right front pocket picture
544,united thanks asking
545,united lost bag cancelled flightled flight delhi call center poor united staff spread thin stressed name
546,united yes doesnt make mistake le absurd doesnt change fact im inconveniently missing luggage tonight
547,united im constantly challenge upgrade amp charge order prevent dvt pay addtl 180 httptcoxc6jq70r7b
548,united ord waited 20 min crew member left gate item came flight attendant sarcastically said good luck walked away
549,united
550,united favorite airline
551,united seriously fail making stranger share room
552,united needed asap make today flight
553,united agent split reservation cant cancelled flight refund credit 2wks
554,united would make share room
555,united tried calling w25 min phn wait mean wed miss option anyway
556,united ask guy flight 1146 bwi wait u get delayed flight san diego pretty please
557,united still waiting find rep working hard upset wait tomorrow pm get mammoth
558,united early flt think call appropriate yes reviewed nada avail next day expect full refund
559,united ask call get fixed tweeting b question stall make thing worse phone number please
560,united yo yo yo stuck tarmac 2 hour fly2ohare going miss ride flypdx help please helpimstuck united
561,united highly unprofessional overbook flight 12 seat ampfeel rearrange schedule mismanagement
562,united well considering every agent claimed unable help everything else waste time hear call corp
563,united man cant wait book ticket thanks jp youre life sabe
564,united ice totally understand large number u facing 15 hour time overnight cancelled flightations seems like
565,united flt 1249 cancelled flightled get email 330 happened courtesy phn call book diff airline amp city
566,united tag number 0016 964012 0016 964077 0016 964078 let find bag
567,united better train support staff appropriate decorum consider revisiting terrible provide death certificate policy
568,united well bar set low guy really good apology game change u guy learn
569,united guy continue impress houston httptcocih1qnllcm
570,united way making phone call need handle via twitteremailweb thank
571,united website deserves new design html5 ftw
